@relation 'final_des3 - Copy-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last_clustered'

@attribute Instance_number numeric
@attribute DATE {Weekday,Weekends}
@attribute TIME {Night,Evening,Mid_Night,Early_Morning,Afternoon,Morning,Noon}
@attribute Road_type {Road,highway}
@attribute ENVIRONMENT {'01 - Clear','05 - Drifting Snow','03 - Snow','02 - Rain','04 - Freezing Rain','07 - Fog/mist/smoke/dust','06 - Strong wind','00 - Unknown'}
@attribute LIGHT {'07 - Dark','01 - Daylight','05 - Dusk','03 - Dawn','00 - Unknown'}
@attribute SURFACE_CONDITION {'01 - Dry','06 - Ice','02 - Wet','04 - Slush','03 - Loose snow','05 - Packed snow','00 - Unknown','99 - Other','08 - Loose sand or gravel','07 - Mud','09 - Spilled liquid'}
@attribute TRAFFIC_CONTROL {'10 - No control','02 - Stop sign','01 - Traffic signal','03 - Yield sign','07 - School bus','09 - Traffic controller','11 - Roundabout','08 - Traffic gate',Unknown}
@attribute COLLISION_CLASSIFICATION {Injury,'P.D. only'}
@attribute IMPACT_TYPE {'02 - Angle','01 - Approaching','06 - SMV unattended vehicle','03 - Rear end','07 - SMV other','04 - Sideswipe','05 - Turning movement','99 - Other'}
@attribute Location {Ottawa_west,Ottawa_south,downtown,Ottawa_east,mid_town}
@attribute NO_OF_PEDESTRIANS {0,1,2,4}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
34,Weekends,Evening,Road,'03 - Snow','01 - Daylight','05 - Packed snow','10 - No control','P.D. only','06 - SMV unattended vehicle',downtown,0,cluster0
35,Weekends,Evening,Road,'03 - Snow','01 - Daylight','03 - Loose snow','10 - No control',Injury,'01 - Approaching',Ottawa_south,0,cluster0
36,Weekends,Evening,Road,'03 - Snow','01 - Daylight','05 - Packed snow','10 - No control','P.D. only','06 - SMV unattended vehicle',downtown,0,cluster0
37,Weekends,Evening,Road,'03 - Snow','01 - Daylight','03 - Loose snow','10 - No control','P.D. only','07 - SMV other',Ottawa_east,0,cluster0
38,Weekends,Evening,Road,'03 - Snow','01 - Daylight','03 - Loose snow','01 - Traffic signal','P.D. only','03 - Rear end',downtown,0,cluster3
39,Weekends,Evening,Road,'03 - Snow','01 - Daylight','03 - Loose snow','10 - No control',Injury,'01 - Approaching',mid_town,0,cluster0
40,Weekends,Early_Morning,Road,'03 - Snow','07 - Dark','03 - Loose snow','02 - Stop sign','P.D. only','01 - Approaching',downtown,0,cluster0
41,Weekends,Night,Road,'03 - Snow','01 - Daylight','03 - Loose snow','01 - Traffic signal','P.D. only','03 - Rear end',downtown,0,cluster1
42,Weekends,Evening,Road,'03 - Snow','01 - Daylight','05 - Packed snow','10 - No control','P.D. only','07 - SMV other',downtown,0,cluster0
43,Weekends,Evening,Road,'03 - Snow','01 - Daylight','06 - Ice','01 - Traffic signal','P.D. only','02 - Angle',Ottawa_east,0,cluster0
44,Weekends,Night,Road,'03 - Snow','01 - Daylight','03 - Loose snow','10 - No control','P.D. only','04 - Sideswipe',mid_town,0,cluster0
45,Weekends,Night,Road,'01 - Clear','01 - Daylight','03 - Loose snow','10 - No control','P.D. only','02 - Angle',Ottawa_east,0,cluster1
46,Weekends,Night,Road,'03 - Snow','05 - Dusk','03 - Loose snow','02 - Stop sign','P.D. only','02 - Angle',downtown,0,cluster0
47,Weekends,Evening,Road,'03 - Snow','01 - Daylight','03 - Loose snow','10 - No control','P.D. only','06 - SMV unattended vehicle',mid_town,0,cluster0
48,Weekends,Night,Road,'03 - Snow','05 - Dusk','03 - Loose snow','01 - Traffic signal','P.D. only','05 - Turning movement',mid_town,0,cluster4
49,Weekday,Night,Road,'03 - Snow','05 - Dusk','06 - Ice','10 - No control',Injury,'03 - Rear end',Ottawa_east,0,cluster1
50,Weekday,Night,Road,'01 - Clear','01 - Daylight','02 - Wet','02 - Stop sign','P.D. only','06 - SMV unattended vehicle',Ottawa_west,0,cluster1
51,Weekends,Night,Road,'03 - Snow','07 - Dark','03 - Loose snow','01 - Traffic signal',Injury,'07 - SMV other',Ottawa_south,0,cluster0
52,Weekends,Night,Road,'03 - Snow','07 - Dark','03 - Loose snow','01 - Traffic signal','P.D. only','03 - Rear end',Ottawa_west,0,cluster1
53,Weekends,Night,Road,'02 - Rain','07 - Dark','02 - Wet','10 - No control','P.D. only','04 - Sideswipe',downtown,0,cluster3
54,Weekends,Night,Road,'02 - Rain','07 - Dark','03 - Loose snow','02 - Stop sign','P.D. only','02 - Angle',downtown,0,cluster1
55,Weekends,Mid_Night,Road,'03 - Snow','07 - Dark','03 - Loose snow','10 - No control','P.D. only','06 - SMV unattended vehicle',downtown,0,cluster0
56,Weekends,Mid_Night,Road,'03 - Snow','07 - Dark','03 - Loose snow','10 - No control','P.D. only','02 - Angle',Ottawa_west,0,cluster0
57,Weekends,Mid_Night,Road,'03 - Snow','07 - Dark','03 - Loose snow','10 - No control','P.D. only','07 - SMV other',mid_town,0,cluster0
58,Weekends,Mid_Night,Road,'03 - Snow','07 - Dark','03 - Loose snow','01 - Traffic signal','P.D. only','05 - Turning movement',downtown,0,cluster4
59,Weekends,Mid_Night,Road,'03 - Snow','07 - Dark','03 - Loose snow','01 - Traffic signal','P.D. only','03 - Rear end',downtown,0,cluster4
60,Weekends,Mid_Night,Road,'01 - Clear','07 - Dark','03 - Loose snow','10 - No control','P.D. only','06 - SMV unattended vehicle',Ottawa_south,0,cluster3
61,Weekday,Morning,Road,'01 - Clear','07 - Dark','02 - Wet','01 - Traffic signal',Injury,'07 - SMV other',mid_town,1,cluster4
62,Weekday,Morning,Road,'01 - Clear','07 - Dark','04 - Slush','02 - Stop sign',Injury,'02 - Angle',downtown,0,cluster4
63,Weekday,Noon,Road,'01 - Clear','07 - Dark','04 - Slush','02 - Stop sign','P.D. only','02 - Angle',Ottawa_south,0,cluster4
64,Weekday,Noon,Road,'01 - Clear','03 - Dawn','04 - Slush','10 - No control','P.D. only','07 - SMV other',Ottawa_south,0,cluster0
65,Weekday,Noon,Road,'01 - Clear','01 - Daylight','04 - Slush','01 - Traffic signal','P.D. only','03 - Rear end',downtown,0,cluster1
66,Weekday,Noon,Road,'01 - Clear','01 - Daylight','03 - Loose snow','01 - Traffic signal','P.D. only','03 - Rear end',downtown,0,cluster1
67,Weekday,Noon,Road,'01 - Clear','01 - Daylight','05 - Packed snow','10 - No control','P.D. only','07 - SMV other',Ottawa_east,0,cluster0
68,Weekday,Noon,Road,'01 - Clear','01 - Daylight','05 - Packed snow','10 - No control','P.D. only','01 - Approaching',downtown,0,cluster1
69,Weekday,Noon,Road,'01 - Clear','01 - Daylight','02 - Wet','10 - No control','P.D. only','05 - Turning movement',Ottawa_east,0,cluster0
70,Weekday,Noon,Road,'01 - Clear','01 - Daylight','05 - Packed snow','10 - No control','P.D. only','06 - SMV unattended vehicle',downtown,0,cluster1
71,Weekday,Noon,Road,'01 - Clear','01 - Daylight','06 - Ice','10 - No control','P.D. only','01 - Approaching',Ottawa_west,0,cluster1
72,Weekends,Afternoon,Road,'03 - Snow','01 - Daylight','03 - Loose snow','01 - Traffic signal','P.D. only','02 - Angle',downtown,0,cluster0
73,Weekday,Afternoon,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',mid_town,0,cluster2
74,Weekday,Afternoon,Road,'01 - Clear','01 - Daylight','02 - Wet','02 - Stop sign','P.D. only','03 - Rear end',Ottawa_south,0,cluster1
75,Weekday,Afternoon,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal',Injury,'03 - Rear end',mid_town,0,cluster2
76,Weekends,Night,Road,'01 - Clear','01 - Daylight','03 - Loose snow','01 - Traffic signal','P.D. only','05 - Turning movement',downtown,0,cluster1
77,Weekday,Afternoon,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','02 - Angle',Ottawa_east,0,cluster0
78,Weekday,Afternoon,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','04 - Sideswipe',mid_town,0,cluster2
79,Weekday,Afternoon,Road,'01 - Clear','01 - Daylight','02 - Wet','10 - No control','P.D. only','02 - Angle',downtown,0,cluster0
80,Weekday,Evening,Road,'01 - Clear','01 - Daylight','00 - Unknown','10 - No control','P.D. only','01 - Approaching',downtown,0,cluster0
81,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','02 - Angle',Ottawa_south,0,cluster0
82,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','03 - Rear end',mid_town,0,cluster2
83,Weekday,Afternoon,Road,'01 - Clear','01 - Daylight','02 - Wet','10 - No control','P.D. only','02 - Angle',downtown,0,cluster0
84,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',Ottawa_west,0,cluster0
85,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal',Injury,'02 - Angle',downtown,0,cluster0
86,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','02 - Stop sign','P.D. only','03 - Rear end',downtown,0,cluster3
87,Weekday,Evening,Road,'01 - Clear','01 - Daylight','01 - Dry','10 - No control','P.D. only','02 - Angle',downtown,0,cluster1
